																
Parameter	ÄK		Repräsentanten				Nr.	portions	title	tags	author	description	ingredient.unit	ingredient.amount	ingredient.name	erwartetes Ergebnis
portions	gÄK1,1	1 - 6	4				1	4	Kartoffelpuffer	vegetarisch	Chefkoch	Als erstes ...	g	291.35	Mehl	gültig
	uÄK1,1	-Number.MAX_VALUE - 0	-276				2	-276	Kartoffelpuffer	vegetarisch	Chefkoch	Als erstes ...	g	291.35	Mehl	ungültig
	uÄK1,2	7 - Number.MAX_VALUE	89				3	89	Kartoffelpuffer	vegetarisch	Chefkoch	Als erstes ...	g	291.35	Mehl	ungültig
	uÄK1,3	NaN	"""Katze"""				4	"""Katze"""	Kartoffelpuffer	vegetarisch	Chefkoch	Als erstes ...	g	291.35	Mehl	ungültig
title	gÄK2,1	String (1 - 50 Zeichen)	"""Kartoffelpuffer"""				5	4	Kartoffelpuffer	vegetarisch	Chefkoch	Als erstes ...	g	291.35	Mehl	gültig
	uÄK2,1	String (51 - Number.MAX_VALUE Zeichen)	"""Dies ist ein Beispieltext mit genau 51 Zeichen Länge!123"""				6	4	51-Zeichen-String	vegetarisch	Chefkoch	Als erstes ...	g	291.35	Mehl	ungültig
	uÄK2,2	null	""""""				7	4	""""""	vegetarisch	Chefkoch	Als erstes ...	g	291.35	Mehl	ungültig
tags	gÄK3,1	"""vegetarisch"""	"""vegetarisch"""				8	4	Kartoffelpuffer	vegetarisch	Chefkoch	Als erstes ...	g	291.35	Mehl	gültig
	gÄK3,2	"""vorspeise"""	"""vorspeise"""				9	4	Kartoffelpuffer	vorspeise	Chefkoch	Als erstes ...	g	291.35	Mehl	gültig
	gÄK3,3	"""hauptspeise"""	"""hauptspeise"""				10	4	Kartoffelpuffer	hauptspeise	Chefkoch	Als erstes ...	g	291.35	Mehl	gültig
	gÄK3,4	"""suppe"""	"""suppe"""				11	4	Kartoffelpuffer	suppe	Chefkoch	Als erstes ...	g	291.35	Mehl	gültig
	gÄK3,5	"""salat"""	"""salat"""				12	4	Kartoffelpuffer	salat	Chefkoch	Als erstes ...	g	291.35	Mehl	gültig
	gÄK3,6	"""fleischgericht"""	"""fleischgericht"""				13	4	Kartoffelpuffer	fleischgericht	Chefkoch	Als erstes ...	g	291.35	Mehl	gültig
	gÄK3,7	"""backen"""	"""backen"""				14	4	Kartoffelpuffer	backen	Chefkoch	Als erstes ...	g	291.35	Mehl	gültig
	gÄK3,8	"""einfach"""	"""einfach"""				15	4	Kartoffelpuffer	einfach	Chefkoch	Als erstes ...	g	291.35	Mehl	gültig
	gÄK3,9	"""glutenfrei"""	"""glutenfrei"""				16	4	Kartoffelpuffer	glutenfrei	Chefkoch	Als erstes ...	g	291.35	Mehl	gültig
	gÄK3,10	"""laktosefrei"""	"""laktosefrei"""				17	4	Kartoffelpuffer	laktosefrei	Chefkoch	Als erstes ...	g	291.35	Mehl	gültig
	gÄK3,11	"""asiatisch"""	"""asiatisch"""				18	4	Kartoffelpuffer	asiatisch	Chefkoch	Als erstes ...	g	291.35	Mehl	gültig
	gÄK3,12	"""nachspeise"""	"""nachspeise"""				19	4	Kartoffelpuffer	nachspeise	Chefkoch	Als erstes ...	g	291.35	Mehl	gültig
	gÄK3,13	keine Tags	/				20	4	Kartoffelpuffer	/	Chefkoch	Als erstes ...	g	291.35	Mehl	gültig
	uÄK3,1	None of the above	28392				21	4	Kartoffelpuffer	28392	Chefkoch	Als erstes ...	g	291.35	Mehl	ungültig
author	gÄK4,1	String (1 - 30 Zeichen)	"""Chefkoch"""				22	4	Kartoffelpuffer	vegetarisch	Chefkoch	Als erstes ...	g	291.35	Mehl	gültig
	uÄK4,1	String (31 - Number.MAX_VALUE Zeichen)	"""Dieser Text hat genau 31 Zeichen!"""				23	4	Kartoffelpuffer	vegetarisch	31-Zeichen-Text	Als erstes ...	g	291.35	Mehl	ungültig
	uÄK4,2	null	""""""				24	4	Kartoffelpuffer	vegetarisch	""""""	Als erstes ...	g	291.35	Mehl	ungültig
description	gÄK5,1	String (1 - 5000 Zeichen)	"""Als erstes ..."""				25	4	Kartoffelpuffer	vegetarisch	Chefkoch	Als erstes ...	g	291.35	Mehl	gültig
